Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
259: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.517, 0.482, 0.000, 0.000], checks for var: 20
260: expect=1, actual=np.int64(-3), [0.986, 0.014, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
261: expect=0, actual=np.int64(1), [0.000, 0.000, 0.002, 0.037, 0.962, 0.000, 0.000], checks for var: 19
263: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000], checks for var: 18
264: expect=2, actual=np.int64(1), [0.000, 0.000, 0.005, 0.069, 0.918, 0.008, 0.000], checks for var: 19
266: expect=-1, actual=np.int64(-2), [0.379, 0.597, 0.023, 0.000, 0.000, 0.000, 0.000], checks for var: 20
267: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.368, 0.133, 0.218, 0.241, 0.040], checks for var: 19
268: expect=0, actual=np.int64(-2), [0.000, 0.886, 0.071, 0.042, 0.000, 0.000, 0.000], checks for var: 19
269: expect=1, actual=np.int64(-1), [0.001, 0.028, 0.970, 0.001, 0.000, 0.000, 0.000], checks for var: 19
270: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.027, 0.886, 0.087, 0.000, 0.000], checks for var: 19
271: expect=0, actual=np.int64(-1), [0.000, 0.107, 0.893, 0.000, 0.000, 0.000, 0.000], checks for var: 20
